A littera latine graece alpha hebraice aleph,
A inter duo puncta praenomen est aulus,
A in compositione cum dictionibus graecis priuat.,
A.ab.abs, cum dictionibus latinis separat
A.abs.absque praepositiones ablatiui,  por de
A galilaea non de galilaea, por natural de galilea
A gadibus non de gadibus, por de calez
Ab arimathia non de arimathia, por de arimathia
Ab andria non de andria, por de casa de andria
A romanis, por del vando y parte de los romanos
A sabinis, por del vando de los sabinos
Abatis, por el fiel de las medidas
A caliculis, por el repostero de los vasos
A libellis, por el relator de las peticiones
A responsis, aquel por quien el rei responde
Ab aure, por el secretario a la oreja
A manu puer, por mozo para mandados
A pedibus puer, por mozo de espuelas
Ab extis, por el que adiuina por las assaduras
A loco uenire, por venir de cerca de lugar.
Abacue, por uno de los profetas menores.bar
Abacus.i, por el aparador de los vasos
Abacus.i, por la tabla para contar
Abaculus.i, por pequeño aparador o tabla
Abaculus.i, por trebejo o escaque del axedrez.
Abactor.oris, por el ladron del ganado
Abadir.iris, por la piedra que comio saturno
Abadon.apo.us.b.,
Abalienare quid, por agenar algo de si.a.i
Abalienatio.onis, por aquel agenamiento
Abamita.ae, por la ermana del tercero abuelo
Abanar, fl.damasci.
Abas.antis, un hijo de preto rei de los argiuos
Abas.antis, por un compañero de eneas troiano
Abantiades.ae, por hijo o nieto de abante
Abantis.idis, por hija o nieta de abante.
Abantaeus.a.um, por cosa de abante
Abarimon.i, por una parte del monte timauo.
Abarim, monte sepultura de moisen.bar
Abasianus.i, cierta piedra preciosa no conocida
Abatos.i, una isla es en la laguna de memphis
Abatos.i, un lugar es de guinea la de egypto.
Abauus.i, por el tercero abuelo
Abauia.ae, por la tercera abuela
Abauumculus.i, por el ermano de la tercia abuela
Abax.acis, por aparador o ataifor morisco
Abba.ex syrisca lingua est pater.bar,
Abbas.atis, por abad nombre de dignidad.b
Abbatis.idis. uel abbatissa.ae, por abadessa.b.
Abbatia.ae.ex syrisca lingua interpretatur pater,
Abbreuio.as, por abreuiar.actiuum.i.
Abbreuiator.oris, por el abreuiador
Abbreuiatio.onis, por el abreuiatura
Abdera.ae, por una ciudad de tracia
Abderites.ae, por varon de aquella ciudad
Abderitis.idis, por muger de aquella ciudad.
Abderitano.a.um, por cosa de aquella ciudad
Abdenago, uno de los tres niños.bar
Abdias.e, uno de los profetas menores.b
Abditiuus.a.um, por cosa abortada.pr.
Abdicare filium, por deseredarlo en vida
Abdicatio.onis, por aquel deseredamiento
Abdicare se magistratu, por renunciar officio
Abdicatio.onis, por aquella renunciacion
Abdomen.inis, por enxundia o untaza
Abdomen.inis, por la ijada gruessa del pescado
Abdo.is.abdidi, por esconder.actiuum
Abducere rem are, por apartar uno de otro
Abductio.onis, por aquel apartamiento.
Abducere uxorem, por tomar muger y casa
Abel, hijo fue de adan y eua
Abella.ae, por una ciudad de campania
Abellina nux, por el avellana fruta conocida
Abercere remare, por arredrar uno de otro
Aberrare a loco, por se desviar de lugar alguno
Aberratio.onis, por aquel apartamiento
Aberrunco.as, por arrancar o rozar.pr.a.i.
Aberruncasso.is, por aquello mesmo.pr.a.i.
Abgregare rem are, por apartar uno de otro.
Abgregatio.onis, por aquel apartamiento
Abhorrere a re, por ser ageno de alguna cosa.ab
Abhorrere rem, por aborrecer alguna cosa.ac.
Abias.ae, hijo de roboan.
Abiund, hijo de zorobabel
Abydos.i, ciudad es de asia sobre el esponto.
Abydaeus.a.um, por cosa de aquella ciudad.gr
Abydenus.a.um, por cosa de aquella ciudad.
Abiectus.a.um. participium ab abiicio.is,
Abies.etis, por cierto arbol de especie de pino
Abiegnus.a.um, por cosa de aquel arbol
Abietarius.ii, por el carpintero della
Abietaria ars, por la carpinteria della.
Abietarius.a.um, por cosa de carpinteria.
Abigail, muger de nabal.
Abigere armenta, por hurtar ganados
Abigeus.i, por el ladron de ganados
Abigeatus.us, por el hurto de ganados.
Abigere aues, por oxear o espantar aves.
Abiicere quid ase, por echar de si algo.a.i
Abila.ae, por un monte de africa contra tarifa
Abire a loco, por se ir de lugar o persona
Abitio.onis, por la ida o muerte.pr
Ab integro. aduer, por de comienzo o de nuevo
Abyssus.i, por abismo agua sin hondon
Abiudico.as, por quitar por sentencia.a.i.
Abiugare bouen a boue, por desuñir bueies.a.i
Abiungere rem a re, por apartar uno de otro.a.i
Abiurare depositum, por negar con juramento.
Abiuratio.onis, por aquella negacion
